Institutes,Country,Type,Name,Platform,Phase,Date started,Reference,"Listed by WHO, 05 Oct 2020","Listed by Milken, 05 Oct 2020",Other
ImmunoPrecise/LiteVax BV,Canada,Commercial,Protein subunit vaccine,Protein subunit,Pre-clinical,20-02-20,https://pipelinereview.com/index.php/2020022173854/Antibodies/ImmunoPrecise-Launches-Coronavirus-Vaccine-and-Therapeutic-Antibody-Program.html,yes,yes,NA
IMV Inc,USA,Commercial,DPX-COVID-19,Protein subunit,Pre-clinical,30-03-20,https://ir.imv-inc.com/press-releases/detail/638/imv-inc-provides-updates-on-the-development-of,yes,yes,Peptide antigens formulated in lipid nanoparticle formulation
InnoMedica,Switzerland,Commercial,TaliCoVax19,Protein subunit,Pre-clinical,19-04-20,https://www.innomedica.com/en/2020/03/30/march-2020-innomedica-launches-project-for-corona-vaccination/,no,yes,RBD protein expressed from bacteria + liposome carrier system
Innovax/Xiamen University/GSK,China/UK,Commercial/Academic,COVID-19 XWG-03,Protein subunit,Pre-clinical,03-04-20,https://www.fiercebiotech.com/biotech/gsk-allies-innovax-for-covid-19-vaccine-r-d-project,yes,yes,Truncated S (spike) proteins
Instituto Finlay de Vacunas,Cuba,State,FINLAY-FR-1,Protein subunit,Phase I/II,01-08-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,no,no,RBD + adjuvant
Intravacc/Epivax (peptide),Netherlands/USA,Commercial,OMV-peptide vaccine,Protein subunit,Pre-clinical,14-05-20,https://www.intravacc.nl/,yes,yes,NA
Intravacc/Epivax (subunit),Netherlands/USA,Commercial,OMV-subunit vaccine,Protein subunit,Pre-clinical,14-05-20,https://www.intravacc.nl/,yes,yes,NA
Izmir Biomedicine and Genome Center,Turkey,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Kentucky Bioprocessing Inc,USA,Commercial,KBP-COVID-19,Protein subunit,Phase I/II,02-04-20,https://www.kentucky.com/news/coronavirus/article241709386.html,yes,yes,Biotech subsidiary of British American Tobacco
LakePharma Inc,USA,Commercial,"Protein subunit, nanoparticle vaccine",Protein subunit,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Nanoparticle vaccine
Liaoning Chengda Biotechnology/Tsinghua University,China,Commercial/Academic,Peptide vaccine,Protein subunit,Pre-clinical,17-04-20,https://www.bioworld.com/COVID19products,no,no,NA
Lomonosov Moscow State University ,Russia,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,01-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Structurally modified spherical particles of the tobacco mosaic virus (TMV) 
Max Planck Institute of/Colloids and Interfaces (subunit),Germany,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,13-05-20,https://www.mpg.de/14807464/0511-mpin-116799-corona-vaccination-via-the-skin,no,yes,S protein plus targeting ligand for Langerhans cells
Medigen Vaccine Biologics Corporation/NAID/Dynavax,Taiwan/USA,Commercial/Academic,MVC-COV1901,Protein subunit,Phase I,17-02-20,https://www.pharmashots.com/press-releases/taiwan-firm-teams-up-with-us-to-develop-covid-19-vaccine/,yes,yes,S-2 P protein + CpG 1018
MIGAL Galilee Research Institute,Israel,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,27-02-20,http://www.migal.org.il/Migal.covid,yes,yes,Oral E. coli-based protein expression system of S and N proteins
MOGAM Institute for Biomedical Research/GC Pharma,Republic of Korea,Commercial,Protein subunit vaccine,Protein subunit,Pre-clinical,19-03-20,http://www.businesskorea.co.kr/news/articleView.html?idxno=42991,yes,yes,Synthetic antigen-based ubunit vaccine
Mynvax,India,Commercial,Protein subunit vaccine,Protein subunit,Pre-clinical,15-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
National Institute of Infectious Disease/Shionogi/UMN Pharma,Japan,Commercial/Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,11-04-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,S protein + adjuvant
"National Research Centre, Egypt (subunit)",Egypt,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Protein Subunit S,N,M&S1 protein "
Neovii/Tel Aviv University,Israel,Commercial/Academic,RBD-based vaccine,Protein subunit,Pre-clinical,13-05-20,https://neovii.com/neovii-partners-with-tel-aviv-university-to-develop-novel-covid-19-vaccine/,yes,yes,RBD-based 
Novavax,USA,Commercial,NVX-CoV2373,Protein subunit,Phase III,10-03-20,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,yes,yes,VLP-recombinant protein nanoparticle vaccine + Matrix M
Ohio State University/Kazakh National Agrarian University,USA/Republic of Kazakhstan,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,25-07-20,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,NA,NA,RBD protein delivered in mannose- conjugated chitosan nanoparticle
OncoGen,Romania,Commercial,Protein subunit vaccine,Protein subunit,Pre-clinical,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,Synthetic long peptide vaccine candidate for S and M proteins
Osaka University/BIKEN/NIBIOHN (subunit),Japan,Commercial/Academic,VLP-recombinant protein vaccine,Protein subunit,Pre-clinical,11-04-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,VLP-recombinant protein + adjuvant
PDS Biotechnology,USA,Commercial,PDS0203,Protein subunit,Pre-clinical,16-04-20,https://www.globenewswire.com/news-release/2020/04/16/2017301/0/en/PDS-Biotechnology-Initiates-Novel-Vaccine-Development-Programs-For-COVID-19-and-Universal-Influenza-Delay-of-PDS0101-VERSATILE-002-trial.html,no,yes,Versamune T-cell activating technology with Sars-CoV-2 antigens
Quadram Institute Biosciences,UK,Commercial/Academic,OMV-based vaccine,Protein subunit,Pre-clinical,07-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Bacterial extracellular vesicle (BEV)-based mucosal vaccine. 
Research Institute for/Biological Safety Problems (subunit),Republic of Kazakhstan,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,31-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Sanofi Pasteur/GSK,France/UK,Commercial,Protein subunit vaccine,Protein subunit,Phase I/II,20-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,S protein (baculovirus production)
SK Biosciences,Republic of Korea,Commercial,Protein subunit vaccine,Protein subunit,Pre-clinical,23-03-20,http://www.koreabiomed.com/news/articleView.html?idxno=7798,no,yes,NA
Soligenix Inc/University of Hawaiʻi at Mānoa,USA,Commercial/Academic,CiVax,Protein subunit,Pre-clinical,28-07-20,https://www.prnewswire.com/news-releases/soligenix-announces-publication-of-positive-pre-clinical-results-for-a-novel-covid-19-vaccine-301100798.html,no,no,Heat-stable subunit vaccine with CoVaccine adjuvant
Sorrento Therapeutics,USA,Commercial,T-VIVA-19,Protein subunit,Pre-clinical,17-08-20,https://sorrentotherapeutics.com/research/covid-19/t-viva-19/,no,yes,Recombinant fusion protein of the SARS-CoV-2 spike protein S1 domain and human IgG Fc (T-VIVA-19)
St Petersburg Scientific Research Institute/of Vaccines and Sera,Russia,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,11-04-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,"Recombinant protein, nanoparticles (based on S-protein and other epitopes)"
University Hospital Tübingen,Germany,Academic,CoVac-1,Protein subunit,Phase I,01-09-20,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,SARS-CoV-2 HLA-DR peptides
University of Alberta,Canada,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Spike based
"University of California, San Diego",USA,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,20-04-20,https://ucsdnews.ucsd.edu/pressrelease/marrying-molecular-farming-and-advanced-manufacturing-to-develop-a-covid-19-vaccine,no,yes,Protein subunit; plant virus nanotechnology formulated as injectable and microneedle patch
University of Pittsburgh,USA,Academic,PittCoVacc,Protein subunit,Pre-clinical,02-04-20,https://www.upmc.com/media/news/040220-falo-gambotto-sars-cov2-vaccine,yes,yes,Microneedle arrays S1 subunit
University of Queensland/CSL/Seqirus,Australia/UK/USA,Commercial/Academic,Molecular clamp vaccine,Protein subunit,Phase I,24-01-20,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,yes,yes,"Molecular clamp stabilized spike protein, CSL MF59 adjuvant"
University of San Martin/CONICET,Argentina,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,12-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
University of Virginia,USA,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,S subunit intranasal liposomal formulation with GLA/3M052 adjuvants
Vabiotech,Vietnam,State/Commercial,IC-BEVS,Protein subunit,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Protein subunit, recombinant S protein in IC-BEVS  "
Vaxil Bio,Israel,Commercial,Protein subunit vaccine,Protein subunit,Pre-clinical,13-02-20,https://pipelinereview.com/index.php/2020021673805/Vaccines/Vaxil-Announces-the-Identification-of-a-Potential-Corona-Virus-Vaccine-and-Provides-an-Update-in-the-Previously-Announced-Debt-Financing.html,yes,yes,NA
Vaxine Pty/Medytox,Australia,Commercial,COVAX-19,Protein subunit,Phase I,03-04-20,https://news.flinders.edu.au/blog/2020/04/03/flinders-targets-covid-19-vaccine/,yes,yes,Recombinant spike protein with Advax™ adjuvant
Versatope/Umass (subunit),USA,Commercial/Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,30-03-20,https://www.uml.edu/News/stories/2020/M2D2-coronavirus-efforts.aspx?mc_cid=b01e8bd49c&mc_eid=565cb5181a,no,no,Polypeptide-based
"VIDO-InterVac,/University of Saskatchewan",Canada,Academic,Adjuvanted microsphere peptide,Protein subunit,Pre-clinical,20-03-20,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,NA
Walter Reed Army Institute of Research/USAMRIID,USA,Academic,Protein subunit vaccine,Protein subunit,Pre-clinical,05-03-20,https://www.defense.gov/Newsroom/Transcripts/Transcript/Article/2104736/defense-department-press-briefing-investigating-and-developing-vaccine-candidat/,yes,yes,S protein
"West China Hospital,/Sichuan University",China,Academic,Protein subunit vaccine,Protein subunit,Phase I,28-08-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,RBD (baculovirus production expressed in Sf9 cells)
Yisheng Biopharma,China,Commercial,Protein subunit vaccine,Protein subunit,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Aurobindo,India,Commercial,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,15-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,VSV-S
Beijing Wantai Biological Pharmacy/Xiamen University,China,Commercial/Academic,DelNS1-2019-nCoV-RBD-OPT1,Replicating viral vector,Phase I,09-09-20,https://www.who.int/publications/m/item/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Intranasal flu-based-RBD
BIOCAD/IEM,Russia,Commercial,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,11-04-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,Live viral vectored vaccine based on attenuated influenza virus backbone (intranasal)
DZIF - German Center for Infection Research/CanVirex AG,Germany,Commercial/Academic,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,"Measles virus (S, N targets)"
"FBRI SRC VB VECTOR,/Rospotrebnadzor, Koltsovo/(vector #1)",Russia,State,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Measles Vector
"FBRI SRC VB VECTOR,/Rospotrebnadzor, Koltsovo/(vector #2)",Russia,State,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,"Recombinant vaccine based on Influenza A virus, intranasal vaccine"
"FBRI SRC VB VECTOR,/Rospotrebnadzor, Koltsovo/(vector #3)",Russia,State,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Replicating viral vector; VSV vector
Fundação Oswaldo Cruz (FIOCRUZ)/Instituto Buntantan,Brazil,Academic,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,01-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Attenuated Influenza expressing an antigenic portion of the Spike protein
IAVI/Merck,USA,Commercial/Academic,V590,Replicating viral vector,Phase I,05-03-20,https://www.iavi.org/newsroom/press-releases/2020/iavi-and-batavia-announce-collaboration-vsv-vector-epidemic-preparedness-vaccines,yes,yes,Replication-competent VSV chimeric virus technology (VSVdeltaG) expressing Spike (S) glycoprotein
Institut Pasteur/Themis/University of Pittsburg/Merck,France/USA/Austria,Commercial/Academic,V591,Replicating viral vector,Phase I/II,19-03-20,https://www.themisbio.com/cepi-collaborates-with-the-institut-pasteur-in-a-consortium-to-develop-covid-19-vaccine/,yes,yes,Measles Vector
Intravacc/Wageningen Bioveterinary Research/Utrecht University,Netherlands/Germany,Commercial/Academic,NDV-SARS-CoV-2/Spike ,Replicating viral vector,Pre-clinical,14-05-20,https://www.intravacc.nl/,yes,yes,NA
Israel Institute for Biological Research/Weizmann Institute of Science,Israel,Academic,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,28-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
KU Leuven,Belgium,Academic,YF17D vector vaccine,Replicating viral vector,Pre-clinical,27-01-20,https://www.brusselstimes.com/all-news/belgium-all-news/92085/ku-leuven-researchers-near-test-phase-for-coronavirus-vaccine-wuhan-china-infection-virus-france/,yes,yes,Yellow fever vaccine backbone with SARS-CoV-2 spike protein
Lancaster University,UK,Academic,APM vector vaccine,Replicating viral vector,Pre-clinical,15-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Avian paramyxovirus vector (APMV) 
Sumagen/International Vaccine Institute,Republic of Korea,Commercial/Academic,VSV vector vaccine,Replicating viral vector,Pre-clinical,06-03-20,https://pulsenews.co.kr/view.php?year=2020&no=237416,no,no,VSV vector
Tonix Pharma/Southern Research,USA,Commercial,Horsepox vector vaccine,Replicating viral vector,Pre-clinical,24-03-20,https://ir.tonixpharma.com/press-releases/detail/1195/tonix-pharmaceuticals-reports-fourth-quarter-and-full-year,yes,yes,Horsepox vector expressing S protein
University of Hong Kong,Hong Kong,Academic,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,26-03-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_Mar26.PDF,yes,yes,Influenza vector expressing RBD
University of Western Ontario,Canada,Academic,VSV-S,Replicating viral vector,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,Replicating viral vector; VSV-S
UW-Madison/FluGen/Bharat Biotech,USA/India,Commercial/Academic,CoroFlu,Replicating viral vector,Pre-clinical,02-04-20,https://www.pharmaceutical-technology.com/news/flugen-bharat-bio-uw-madison-covid-vaccine/,yes,yes,M2SR platform; self-limiting replication; intranasal
Zydus Cadila Healthcare Limited (vector),India,Commercial,Replicating viral vector vaccine,Replicating viral vector,Pre-clinical,20-03-20,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,Measles vector
Amyris Inc/Infectious Disease Research Institute,USA,Commercia/Academic,saRNA vaccine,RNA,Pre-clinical,27-07-20,https://investors.amyris.com/2020-07-27-Amyris-and-The-Infectious-Disease-Research-Institute-Partner-to-Advance-Novel-RNA-Vaccine-Platform-Beginning-With-COVID-19-Application,yes,no,saRNA formulated in a NLC
Arcturus/Duke-NUS,USA/Singapore,Commercial/Academic,LUNAR-COV19/ARCT-021,RNA,Phase I/II,04-03-20,https://ir.arcturusrx.com/news-releases/news-release-details/arcturus-therapeutics-and-duke-nus-medical-school-partner,yes,yes,NA
BIOCAD,Russia,Commercial,RNA vaccine,RNA,Pre-clinical,19-03-20,https://biocadglobal.com/index.php?posts&post=45,yes,yes,NA
BioNTech/Fosun Pharma/Pfizer,Germany/USA,Commercial,BNT162,RNA,Phase III,17-03-20,https://www.businesswire.com/news/home/20200316005943/en/,yes,yes,NA
Cansino Biologics/Precision Nanosystems,China/Canada,Commercial,RNA vaccine,RNA,Pre-clinical,20-05-20,https://www.precisionnanosystems.com/our-company/news-room/detail/cansino-biologics-and-precision-nanosystems-announce-collaboration-to-co-develop-a-covid-19-rna-vaccine,yes,yes,LNP-mRNA
Centro Nacional Biotecnología (CNB-CSIC)/(RNA),Spain,Academic,RNA vaccine,RNA,Pre-clinical,26-03-20,https://fems-microbiology.org/wp-content/uploads/2020/03/Enjuanes-Sola-Zúñiga-2020.-Novel-Human-Pathogenic-Coronavirus-SARS-CoV-2.pdf,yes,yes,Replicating defective SARS-CoV-2 derived RNAs
Chimeron Bio/George Mason University ,USA,Commercial/Academic,RNA vaccine,RNA,Pre-clinical,28-05-20,https://www.businesswire.com/news/home/20200528005481/en/Chimeron-Bio-George-Mason-University%E2%80%99s-National-Center,no,yes,NA
China CDC/Tongji University/Stermina Therapeutics,China,Commercial/Academic,RNA vaccine,RNA,Pre-clinical,17-03-20,https://news.cgtn.com/news/2020-03-17/Shanghai-announces-steady-progress-in-COVID-19-vaccine-development--OVydZfNUFG/index.html,yes,yes,NA
Chulalongkorn University,Thailand/USA,Academic,ChulaCov19,RNA,Phase I/II,01-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,LNP-mRNA 
CureVac,Germany/USA,Commercial,CVnCoV,RNA,Phase II,03-03-20,https://www.curevac.com/news/curevac-ceo-daniel-menichella-berät-mit-us-präsident-donald-trump-und-mitgliedern-der-corona-task-force-entwicklungsmöglichkeiten-eines-coronavirus-impfstoffes,yes,yes,NA
Elixirgen Therapeutics/Fujita Health University,USA,Commercial/Academic,EXG-5003,RNA,Pre-clinical,04-06-20,https://elixirgentherapeutics.com/news/fda/elixirgen-therapeutics-concludes-pre-ind-meeting-with-fda-for-its-covid-19-vaccine-candidate-exg-5003,no,yes,NA
Emergex Vaccines/George Mason University,UK/USA,Commercial/Academic,RNA vaccine,RNA,Pre-clinical,22-04-20,https://emergexvaccines.com/emergex-signs-agreement-with-george-mason-university-for-highly-pathogenic-rna-virus-studies/,no,yes,NA
eTheRNA Immunotherapies,Belgium,Commercial,mRNA TriMix vaccine,RNA,Pre-clinical,24-03-20,https://www.thepharmaletter.com/article/etherna-launches-consortium-and-starts-development-of-cov-2-mrna-vaccine,yes,yes,Intranasal
"FBRI SRC VB VECTOR,/Rospotrebnadzor, Koltsovo/(RNA)",Russia,State,RNA vaccine,RNA,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Fudan University/Shanghai JiaoTong University/RNACure Biopharma (VLP),China/USA,Commercial/Academic,RNA vaccine (encoding VLP),RNA,Pre-clinical,20-03-20,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,LNP-encapsulated mRNA cocktail encoding VLP
Fudan University/Shanghai JiaoTong University/RNACure Biopharma/(RBD),China/USA,Commercial/Academic,RNA vaccine (encoding RBD),RNA,Pre-clinical,20-03-20,https://www.who.int/blueprint/priority-diseases/key-action/novel-coronavirus-landscape-ncov.pdf?ua=1,yes,yes,LNP-encapsulated mRNA encoding RBD
GeneOne Life Science/Houston Methodist,USA,Commercial/Academic,RNA vaccine,RNA,Pre-clinical,17-03-20,https://www.houstonmethodist.org/research/covid19/geneone/,no,yes,NA
Gennova,India,Commercial,Self-amplifying RNA vaccine,RNA,Pre-clinical,15-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Greenlight Biosciences,USA,Commercial,RNA vaccine,RNA,Pre-clinical,05-05-20,https://www.greenlightbiosciences.com/covid19/,yes,yes,NA
IDIBAPS-Hospital Clinic (RNA),Spain,Academic,mRNA vaccine,RNA,Pre-clinical,01-06-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Imperial College London,UK,Academic,LNP-nCoVsaRNA,RNA,Phase I,15-01-20,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid-19-vaccine/,yes,yes,NA
Infectious Disease Research Institute/Amyris Inc,USA,Commercial/Academic,AMID-SC2,RNA,Pre-clinical,27-07-20,https://investors.amyris.com/2020-07-27-Amyris-and-The-Infectious-Disease-Research-Institute-Partner-to-Advance-Novel-RNA-Vaccine-Platform-Beginning-With-COVID-19-Application,no,no,Semi-synthetic squalene-based adjuvant
Max Planck Institute of/Colloids and Interfaces (RNA),Germany,Academic,RNA vaccine,RNA,Pre-clinical,13-05-20,https://www.mpg.de/14807464/0511-mpin-116799-corona-vaccination-via-the-skin,no,yes,S mRNA plus targeting ligand for Langerhans cells
Moderna/NIAID,USA,Commercial/Academic,mRNA-1273,RNA,Phase III,13-01-20,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,yes,yes,LNP-encapsulated mRNA
PLA Academy of Military Sciences/Walvax Biotech,China,Commercial/State,ARCoV,RNA,Phase I,17-04-20,https://www.biocentury.com/article/304515,yes,yes,NA
RNAimmune Inc,USA,Commercial,RNA vaccine,RNA,Pre-clinical,05-05-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Rochester Clinical Research,USA,Commercial,RNA vaccine,RNA,Pre-clinical,05-05-20,https://www.rcrclinical.com/clinical-trial/coronavirus-vaccine-interest-list/,no,no,NA
Selcuk University (RNA),Turkey,Academic,mRNA vaccine,RNA,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,yes,yes,NA
Translate Bio/Sanofi Pasteur,France/USA,Commercial,LNP-mRNA vaccine,RNA,Pre-clinical,27-03-20,https://investors.translate.bio/news-releases/news-release-details/sanofi-pasteur-and-translate-bio-collaborate-develop-novel-mrna,yes,yes,NA
University of Tokyo/Daiichi-Sankyo,Japan,Commercial/Academic,LNP-encapsulated mRNA vaccine,RNA,Pre-clinical,11-04-20,https://www.who.int/blueprint/priority-diseases/key-action/Novel_Coronavirus_Landscape_nCoV_11April2020.PDF?ua=1,yes,yes,NA
University of Washington/NIH/HDT Bio Corp,USA,Commercial/Academic,HDT-301,RNA,Pre-clinical,13-02-20,https://newsroom.uw.edu/news/covid-19-vaccine-has-robust-response-nonhuman-primates,no,no,NA
Ziphius Therapeutics/Ghent University,Belgium,Commercial/Academic,ZIP-1642,RNA,Pre-clinical,20-03-20,https://7dffaa19-682b-4760-bc5a-592e63dfdd3b.filesusr.com/ugd/bc1b8f_b6bf5b2e693b4a14aaa51084089eb95c.pdf,no,yes,mRNA encoding multiple SARS-CoV-2 antigens
AbVision,USA,Commercial,AVI-205,Unknown,Pre-clinical,03-05-20,http://abvisioninc.com/2020/05/03/abvision-announced-a-first-in-class-active-targeting-vaccine-candidate-for-covid-19/,no,yes,NA
Adeleke University,Nigeria ,Academic,Unnamed vaccine,Unknown,Pre-clinical,01-07-20,https://www.who.int/who-documents-detail/draft-landscape-of-covid-19-candidate-vaccines,no,yes,NA
Boryung Biopharma,Republic of Korea,Commercial,Unnamed vaccine,Unknown,Pre-clinical,09-03-20,http://www.koreabiomed.com/news/articleView.html?idxno=7650,no,no,NA
"Catholic University,/Millennium Institute of Immunology &/Immunotherapy",Chile,Academic,Unnamed vaccine,Unknown,Pre-clinical,13-03-20,https://translate.google.com/translate?hl=en&sl=es&tl=en&u=http%3A%2F%2Fwww.imii.cl%2Fcientificos-chilenos-trabajan-desarrollo-vacuna-coronavirus-preparacion-la-pandemia%2F,no,yes,NA
Changchun Zhuoyi Biological,China,Commercial,Unnamed vaccine,Unknown,Pre-clinical,17-04-20,https://www.biocentury.com/article/304515,no,no,NA
Chongqing Zhifei Biological Products/Chinese Academy of Sciences,China,Commercial/Academic,Unnamed vaccine,Unknown,Pre-clinical,17-04-20,https://www.biocentury.com/article/304515,no,no,NA
City of Hope,USA,Academic,Unnamed vaccine,Unknown,Pre-clinical,24-03-20,https://www.cityofhope.org/breakthroughs/city-of-hope-researchers-developing-covid-19-vaccine,no,no,NA
Codiak BioSciences/Ragon Institute,USA,Commercial,Unnamed vaccine,Unknown,Pre-clinical,01-06-20,https://www.businesswire.com/news/home/20200601005079/en/Codiak-BioSciences-Collaborates-Ragon-Institute-Evaluate-exoVACC%E2%84%A2,no,yes,exoVACC exome platform
Hualan Biological Engineering,China,Commercial,Unnamed vaccine,Unknown,Pre-clinical,17-04-20,https://www.biocentury.com/article/304515,no,no,NA
ISR Immune System Regulation,Sweden,Commercial,ISR-50,Unknown,Pre-clinical,19-03-20,http://israb.se/pressdetalj/?id=http://publish.ne.cision.com/v2.0/Release/GetDetail/6C15E245715A57C0,no,yes,NA
Nidovax,USA,Commercial,Unnamed vaccine,Unknown,Pre-clinical,28-06-20,https://www.nidovax.com/,no,yes,IMT504 technology
Oragenics,USA,Commercial,TerraCoV2,Unknown,Pre-clinical,04-05-20,https://www.oragenics.com/news-media/press-releases/detail/104/oragenics-acquires-noachis-terra-inc-to-develop-its,no,yes,NA
"Precision Vaccines Program,/Boston Children's Hospital",USA,Academic,Unnamed vaccine,Unknown,Pre-clinical,11-03-20,https://hms.harvard.edu/news/designing-coronavirus-vaccine,no,yes,NA
Royal (Wuxi) Biopharmaceutical ,China,Commercial,Unnamed vaccine,Unknown,Pre-clinical,17-04-20,https://www.biocentury.com/article/304515,no,no,NA
Shandong Buchang Pharma,China,Commercial,Unnamed vaccine,Unknown,Pre-clinical,12-02-20,https://fr.reuters.com/article/idUSP8N2A605E,no,no,NA
SmartPharm Therapeutics Inc/Sorrento Therapeutics,USA,Commercial,Gene-encoded antibody vaccine,Unknown,Pre-clinical,23-03-20,https://smartpharmtx.com/archives/7805,no,yes,NA
Tulane University,USA,Academic,Unnamed vaccine,Unknown,Pre-clinical,19-02-20,https://news.tulane.edu/pr/tulane-university-launches-new-coronavirus-research-program-develop-vaccine-and-advanced,no,yes,NA
