CandidateName,Collaborators,Developer,Current_Phase,Technology,Trials_Randomized,design,current_countries,Status,phase12_primary_completion_date,phase1_primary_completion_date,phase2_primary_completion_date,phase3_primary_completion_date,phase0_date,phase12_start_date,phase12_end_date,phase1_start_date,phase1_end_date,phase2_start_date,phase2_end_date,phase3_start_date,phase3_end_date,trial_number,currentDate,phase12_overlap,phase23_overlap,time_taken_till_now,fund (in USD),disadvantage_count,advantage_count,feasibility_count,prv_success_count,phase12_trials,phase1_trials,phase2_trials,phase3_trials,num_cases,above_60_trials,less_than_18,phase2_age,phase3_age,phase12_time,phase1_time,phase2_time,phase3_time,phase4_time,est_phase12_time,est_phase1_time,est_phase2_time,est_phase3_time,,phase12_trials,
FINLAY-FR-1,"Finlay Institute of Vaccines Cuban Fund for Science and Innovation (FONCI) of the Ministry of Science,Technology and Environment",Instituto Finlay de Vacunas,Phase I/II,Protein subunit,1,Double-blind,Cuba,Recruiting,1635705000,0,0,0,0,1598207400,0,0,0,0,0,0,0,IFV/COR/04,1603556038,5348638,0,5348638,445000000,6,8,0,0,676,0,0,0,0,1,0,,,0,0,0,0,0,37497600,NULL,NULL,NULL,,676,
Gam-COVID-Vac,"Health Ministry of the Russian Federation, Acellena Contract Drug Research and Development, Government of the city of Moscow, CRO: Crocus Medical BV, RDIF (Russian Direct Investment Fund), CRO: iPharma",Gamaleya Research Institute,Phase III,Non-replicating viral vector,1,Double-blind,"Russia,Belarus",Recruiting,0,0,0,1619807400,0,1592332200,1596393000,0,0,0,0,1599417000,0,"NCT04530396,NCT04530396",1603556038,3024000,3024000,11223838,0,4,9,0,0,38,0,110,676,0,1,0,,,4060800,0,0,0,0,NULL,NULL,0,20390400,,38,
GX-19,"Genexine, Inc.",Genexine Consortium,Phase I/II,DNA,1,"Double-blind, dose-finding",Republic of Korea,Recruiting,0,1612895400,1615919400,0,0,0,0,1592332200,1612895400,1612981800,0,0,0,NCT04445389,1603556038,0,0,11223838,0,4,15,0,26,0,60,150,0,0,1,0,,,0,20563200,0,0,0,NULL,20563200,2937600,NULL,,210,
INO-4800,"Inovio Pharmaceuticals,Coalition for Epidemic Preparedness Innovations (CEPI)",Inovio Pharmaceuticals/International Vaccine Institute,Phase I/II,DNA,1,"Open-label (A), double-blind (B), dose-finding",Republic of Korea,Recruiting,1645468200,1625077800,0,0,0,1594751400,0,1585852200,0,0,0,0,0,NCT04447781,1603556038,0,0,17703838,0,4,15,0,240,160,120,0,0,0,1,0,,,0,0,0,0,0,50716800,39225600,NULL,NULL,,160,
mRNA-1273,"ModernaTX Inc., Biomedical Advanced Research and Development Authority,",Moderna/NIAID,Phase III,RNA,1,Double-blind,USA,Recruiting,0,1637519400,1614537000,1666809000,0,0,0,1584297000,0,1590690600,0,1595788200,0,NCT04470427,1603556038,12865438,7767838,19259038,"2,47,98,94,979",4,10,0,2107,0,120,600,30000,0,0,0,,,0,0,0,0,0,NULL,53222400,23846400,71020800,,0,
NVX-CoV2373,Coalition for Epidemic Preparedness Innovations,Novavax,Phase III,Protein subunit,1,Single-blind,UK,Recruiting,0,1592159400,1637173800,1612031400,0,0,0,1590345000,1597516200,1597602600,0,1601231400,0,NCT04583995,1603556038,0,2324638,13211038,1600434523,6,8,0,65,0,1419,4400,9000,0,1,0,,,0,7171200,0,0,0,NULL,1814400,39571200,10800000,,1419,
QAZCOVID-IN,"Research Institute for Biological Safety Problems,National Scientific Center for Phthisiopulmonology of the Republic of Kazakhstan",Research Institute for Biological Safety Problems (inactivated),Phase I/II,Inactivated,1,Single-blind,Kazakhstan,Enrolling by invitation,0,1602268200,1606242600,0,0,0,0,1600453800,1602268200,1602354600,0,0,0,NCT04530357,1603556038,0,0,3102238,0,7,10,0,0,0,44,244,0,0,1,0,,,0,1814400,0,0,0,NULL,1814400,3888000,NULL,,244,
RBD-Dimer vaccine,"The Second Affiliated Hospital of Chongqing Medical University,Beijing Chao Yang Hospital",Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,Phase II,Protein subunit,1,Double-blind,China,Recruiting,0,1635618600,1631644200,0,0,0,0,1592764200,0,1594492200,0,0,0,NCT04466085,1603556038,9063838,0,10791838,0,6,8,0,0,50,50,900,0,0,1,0,,,0,0,0,0,0,NULL,42854400,37152000,NULL,,50,
RBD-HBsAg VLP vaccine,"Serum Institute of India Pvt Ltd,Commercial sector/Industry",SpyBiotech/Serum Institute of India,Phase I/II,Virus-like particle,1,"Observer-blind, dose-finding",Australia,Recruiting,1639938600,0,0,0,0,1596220200,0,0,0,0,0,0,0,ACTRN12620000817943,1603556038,7335838,0,7335838,0,6,8,0,16,280,0,0,0,0,1,0,,,0,0,0,0,0,43718400,NULL,NULL,NULL,,280,
SARS-CoV-2 vaccine,"Sanofi Pasteur,GlaxoSmithKline",Sanofi Pasteur/GSK,Phase I/II,Protein subunit,1,Double-blind,USA,Recruiting,1633026600,0,0,0,0,1599071400,0,0,0,0,0,0,0,NCT04537208,1603556038,4484638,0,4484638,2072775340,6,8,0,1940,440,168,0,0,0,1,0,,,0,0,0,0,0,33955200,NULL,NULL,NULL,,440,
V591,Merck Sharp & Dohme Corp,Merck Sharp & Dohme Corp,Phase I/II,Replicating viral vector,1,"Double-blind, dose-finding","USA, Austria, Belgium",Recruiting,1650911400,1604169000,0,0,0,1598466600,0,1596997800,0,0,0,0,0,NCT04498247,1603556038,5089438,0,6558238,0,4,7,0,992,260,0,0,0,0,0,0,,,0,0,0,0,0,52444800,7171200,NULL,NULL,,260,
ZyCoV-D,Cadila Healthcare Ltd,Zydus Cadila Healthcare Limited (DNA),Phase I/II,DNA,1,Double-blind,India,Recruiting,0,1603391400,1626114600,0,0,0,0,1594578600,1602181800,1603477800,0,0,0,CTRI/2020/07/026352,1603556038,0,0,7603200,0,4,15,0,244,0,209,839,0,0,0,0,,,0,8812800,0,0,0,NULL,8812800,22636800,NULL,,1048,
